subset_label_id,subset_label_name,path,optimization_rank,kernel,reference_method,eigenvalue_method,stop_when_objective_decreases,objective,objective_gain,probability_lambda,base_von_neumann_entropy,von_neumann_entropy,von_neumann_entropy_gain,log_probability,log_probability_sum,positive_probability,subset_probability,best_predicted_subset_label_id,best_predicted_subset_label_name,best_predicted_subset_probability,actual_label_id,actual_label_name
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000092624.jpg,1,rbf,kernel_herding,direct,True,0.7412126021581932,0.0024545242729174,0.005,0.7387580967764847,0.741313239432822,0.0025551615475463,-0.0201274549257727,-0.0201274549257727,0.9800737501178134,0.9800737501178134,20,elephant,0.9800737501178134,23,giraffe
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000043220.jpg,2,rbf,kernel_herding,direct,True,0.7435767940086571,0.0023641918504638,0.005,0.7387580967764847,0.7437665214809,0.0024532820480779,-0.0178180395228086,-0.0379454944485813,0.9823397631079006,0.9823397631079006,20,elephant,0.9823397631079006,22,zebra
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000570246.jpg,3,rbf,kernel_herding,direct,True,0.7458467045677823,0.0022699105591252,0.005,0.7387580967764847,0.7462385879835823,0.0024720665026823,-0.0404311887114104,-0.0783766831599918,0.9603752468950484,0.9603752468950484,20,elephant,0.9603752468950484,23,giraffe
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000130966.jpg,4,rbf,kernel_herding,direct,True,0.7479827809980775,0.0021360764302951,0.005,0.7387580967764847,0.7486334673660973,0.0023948793825149,-0.0517605904439587,-0.1301372736039506,0.9495561724529196,0.9495561724529196,20,elephant,0.9495561724529196,19,cow
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000225663.jpg,5,rbf,kernel_herding,direct,True,0.7500391857908257,0.0020564047927482,0.005,0.7387580967764847,0.750907785789822,0.0022743184237247,-0.0435827261952952,-0.1737199997992458,0.9573533526135788,0.9573533526135788,20,elephant,0.9573533526135788,14,bird
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000310618.jpg,6,rbf,kernel_herding,direct,True,0.7520269550319377,0.0019877692411119,0.005,0.7387580967764847,0.7530589286359328,0.0021511428461108,-0.0326747209997773,-0.2063947207990231,0.9678533307548218,0.9678533307548218,20,elephant,0.9678533307548218,19,cow
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000219196.jpg,7,rbf,kernel_herding,direct,True,0.7539144023554933,0.0018874473235556,0.005,0.7387580967764847,0.7551105609490298,0.002051632313097,-0.0328369979082869,-0.2392317187073101,0.9676962832513524,0.9676962832513524,20,elephant,0.9676962832513524,21,bear
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000447243.jpg,8,rbf,kernel_herding,direct,True,0.7557375853262702,0.0018231829707768,0.005,0.7387580967764847,0.7570526825948425,0.0019421216458126,-0.0237877350071466,-0.2630194537144567,0.9764929630316432,0.9764929630316432,20,elephant,0.9764929630316432,20,elephant
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000551357.jpg,9,rbf,kernel_herding,direct,True,0.7575218998821178,0.0017843145558475,0.005,0.7387580967764847,0.7588815277124965,0.001828845117654,-0.0089061123612812,-0.271925566075738,0.9911334295810136,0.9911334295810136,20,elephant,0.9911334295810136,19,cow
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000542173.jpg,10,rbf,kernel_herding,direct,True,0.7592042848169581,0.0016823849348402,0.005,0.7387580967764847,0.7608953581995355,0.0020138304870389,-0.0662891104397354,-0.3382146765154734,0.9358602582042008,0.9358602582042008,20,elephant,0.9358602582042008,22,zebra
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000483142.jpg,11,rbf,kernel_herding,direct,True,0.760817782877398,0.0016134980604398,0.005,0.7387580967764847,0.7626767881621885,0.001781429962653,-0.0335863804426417,-0.3718010569581151,0.9669713802068872,0.9669713802068872,20,elephant,0.9669713802068872,23,giraffe
20,elephant,C:\Users\maxbe\Downloads\DINO-Kernel-Herding\coco\train2017\000000472666.jpg,12,rbf,kernel_herding,direct,True,0.7623614805367127,0.0015436976593147,0.005,0.7387580967764847,0.7643028262229173,0.0016260380607288,-0.0164680802828135,-0.3882691372409287,0.9836667772539,0.9836667772539,20,elephant,0.9836667772539,19,cow
